date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-11-29 00:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-2,2,-2,21,100,94,2.2,1019,2,8,188,15,ballangen
2020-11-29 01:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-1,2,-1,21,100,94,1.1,1019,2,7,189,16,ballangen
2020-11-29 02:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-1,3,-1,22,100,95,1.3,1020,3,7,190,16,ballangen
2020-11-29 03:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-1,3,-1,23,100,95,1.7,1020,3,7,191,17,ballangen
2020-11-29 04:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-1,3,-1,23,100,94,0.8,1020,3,7,189,16,ballangen
2020-11-29 05:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-1,3,-1,23,100,92,1.5,1020,3,7,187,16,ballangen
2020-11-29 06:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-1,3,-1,23,100,91,2.0,1020,3,7,185,16,ballangen
2020-11-29 07:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-0,3,-0,22,100,92,1.0,1020,3,7,188,16,ballangen
2020-11-29 08:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-0,3,-0,21,100,92,1.4,1020,3,7,192,15,ballangen
2020-11-29 09:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-0,3,-0,20,100,93,1.8,1020,3,7,195,14,ballangen
2020-11-29 10:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,-0,3,-0,19,100,93,0.9,1020,3,7,193,14,ballangen
2020-11-29 11:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,0,3,0,19,100,92,1.3,1020,3,7,190,13,ballangen
2020-11-29 12:00:00,3,-5,0.0,0.3,1,94,02:29 PM,09:12 AM,11:31 AM,01:51 PM,2,0,3,0,18,100,92,1.7,1020,3,7,188,12,ballangen
