date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-11-29 00:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-6,-12,-5,-12,44,96,93,0.7,1020,-5,9,176,21,kjopsvik
2020-11-29 01:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-6,-11,-5,-11,43,97,93,0.3,1020,-5,9,178,21,kjopsvik
2020-11-29 02:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-11,-4,-11,43,99,94,0.4,1021,-4,9,180,21,kjopsvik
2020-11-29 03:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-4,-10,-4,-10,43,100,94,0.6,1021,-4,9,182,21,kjopsvik
2020-11-29 04:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-10,-4,-10,45,100,94,0.3,1021,-4,9,181,21,kjopsvik
2020-11-29 05:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-10,-4,-10,46,100,93,0.5,1020,-4,9,179,22,kjopsvik
2020-11-29 06:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-10,-4,-10,47,100,92,0.6,1020,-4,9,177,22,kjopsvik
2020-11-29 07:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-10,-4,-10,45,100,93,0.3,1020,-4,9,180,21,kjopsvik
2020-11-29 08:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-10,-4,-10,44,100,94,0.4,1020,-4,9,182,21,kjopsvik
2020-11-29 09:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-10,-4,-10,42,100,95,0.6,1021,-4,9,184,20,kjopsvik
2020-11-29 10:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-10,-4,-10,37,99,94,0.3,1021,-4,9,184,18,kjopsvik
2020-11-29 11:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-9,-4,-9,33,98,94,0.4,1021,-4,9,185,15,kjopsvik
2020-11-29 12:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-9,-4,-9,28,96,94,0.6,1021,-4,9,185,13,kjopsvik
2020-11-29 13:00:00,-4,-10,0.0,0.3,1,94,02:34 PM,09:11 AM,11:25 AM,02:01 PM,-5,-9,-4,-9,32,97,94,0.3,1020,-4,7,182,15,kjopsvik
