date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-11-29 00:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,23,74,81,0.2,1029,6,4,114,15,straumsnes
2020-11-29 01:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,24,78,80,0.1,1029,6,5,122,15,straumsnes
2020-11-29 02:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,24,82,80,0.0,1029,6,7,129,16,straumsnes
2020-11-29 03:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,25,86,79,0.0,1029,6,8,137,16,straumsnes
2020-11-29 04:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,25,89,79,0.0,1028,6,9,137,16,straumsnes
2020-11-29 05:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,25,93,79,0.0,1028,6,9,136,16,straumsnes
2020-11-29 06:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,26,96,78,0.0,1028,6,10,136,16,straumsnes
2020-11-29 07:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,27,97,79,0.0,1028,6,10,137,17,straumsnes
2020-11-29 08:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,28,97,80,0.2,1027,6,10,138,19,straumsnes
2020-11-29 09:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,29,98,81,0.3,1027,6,9,139,20,straumsnes
2020-11-29 10:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,3,3,6,3,31,99,81,0.1,1027,6,9,142,21,straumsnes
2020-11-29 11:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,4,3,7,3,33,99,82,0.5,1026,7,9,145,23,straumsnes
2020-11-29 12:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,4,3,7,3,36,100,82,0.7,1026,7,9,149,25,straumsnes
2020-11-29 13:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,4,3,7,3,36,98,83,0.4,1025,7,9,149,25,straumsnes
2020-11-29 14:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,4,2,6,2,36,95,84,0.5,1025,6,9,150,25,straumsnes
2020-11-29 15:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,4,2,6,2,36,93,86,0.7,1024,6,9,151,25,straumsnes
2020-11-29 16:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,4,2,6,2,35,94,86,0.4,1024,6,9,150,25,straumsnes
2020-11-29 17:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,4,2,6,2,35,95,87,0.6,1023,6,9,149,24,straumsnes
2020-11-29 18:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,5,2,6,2,34,97,88,0.8,1023,6,9,148,24,straumsnes
2020-11-29 19:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,5,2,6,2,35,98,88,0.4,1022,5,7,149,25,straumsnes
2020-11-29 20:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,5,2,5,2,36,99,88,0.3,1022,4,6,151,26,straumsnes
2020-11-29 21:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,5,2,5,2,38,100,88,0.4,1021,3,4,152,27,straumsnes
2020-11-29 22:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,5,2,5,2,34,93,87,0.2,1021,4,5,163,24,straumsnes
2020-11-29 23:00:00,7,3,0.0,1.6,2,94,04:33 PM,08:47 AM,10:14 AM,04:40 PM,5,3,6,3,31,85,86,0.2,1020,5,6,174,22,straumsnes
2020-11-30 00:00:00,8,6,0.0,1.6,2,100,04:46 PM,10:10 AM,10:16 AM,04:38 PM,6,4,6,4,28,78,85,0.3,1019,6,7,184,19,straumsnes
2020-11-30 01:00:00,8,6,0.0,1.6,2,100,04:46 PM,10:10 AM,10:16 AM,04:38 PM,5,4,7,4,29,81,84,0.2,1018,7,6,192,20,straumsnes
2020-11-30 02:00:00,8,6,0.0,1.6,2,100,04:46 PM,10:10 AM,10:16 AM,04:38 PM,5,5,8,5,29,85,84,0.3,1017,7,6,199,20,straumsnes
