date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-11-29 00:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-3,-5,-4,-5,4,77,87,0.0,1030,-5,8,75,3,ulvik
2020-11-29 01:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-4,-3,-4,4,74,87,0.0,1030,-4,9,83,3,ulvik
2020-11-29 02:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-3,-3,-3,4,70,87,0.0,1030,-3,9,90,3,ulvik
2020-11-29 03:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-2,-2,-2,4,66,86,0.0,1030,-2,10,98,3,ulvik
2020-11-29 04:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-2,-2,-2,4,62,86,0.0,1029,-2,10,100,3,ulvik
2020-11-29 05:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-3,-2,-3,5,57,86,0.0,1029,-2,10,102,3,ulvik
2020-11-29 06:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-5,-3,-3,-3,6,52,85,0.0,1029,-3,10,104,4,ulvik
2020-11-29 07:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-4,-2,-4,6,55,86,0.0,1029,-2,10,101,4,ulvik
2020-11-29 08:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-4,-2,-4,6,58,86,0.0,1028,-2,10,99,4,ulvik
2020-11-29 09:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-4,-2,-4,7,61,87,0.0,1028,-2,10,96,4,ulvik
2020-11-29 10:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-4,-3,-2,-3,6,66,88,0.0,1028,-2,10,106,4,ulvik
2020-11-29 11:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-3,-3,-1,-3,6,71,89,0.0,1027,-1,10,115,4,ulvik
2020-11-29 12:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-2,-2,-1,-2,6,76,90,0.0,1027,-1,10,125,4,ulvik
2020-11-29 13:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-2,-2,-1,-2,6,82,92,0.0,1026,-1,10,136,5,ulvik
2020-11-29 14:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-1,-2,-0,-2,6,88,94,0.2,1026,-0,10,147,5,ulvik
2020-11-29 15:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-0,-1,0,-1,6,94,95,0.2,1025,0,9,158,5,ulvik
2020-11-29 16:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,-0,-2,-0,-2,6,96,96,0.1,1025,-1,7,154,5,ulvik
2020-11-29 17:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,0,-2,-0,-2,6,98,97,0.1,1024,-1,5,150,6,ulvik
2020-11-29 18:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,0,-3,-1,-3,7,100,98,0.1,1024,-2,3,146,6,ulvik
2020-11-29 19:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,1,-4,-2,-4,7,100,98,0.1,1023,-4,2,143,6,ulvik
2020-11-29 20:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,1,-5,-3,-5,8,100,98,0.1,1023,-5,2,139,7,ulvik
2020-11-29 21:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,1,-7,-5,-7,8,100,98,0.2,1022,-7,1,135,7,ulvik
2020-11-29 22:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,1,-6,-4,-6,8,100,98,0.1,1022,-5,4,144,7,ulvik
2020-11-29 23:00:00,0,-7,0.0,1.6,1,94,04:25 PM,08:41 AM,10:09 AM,04:32 PM,2,-4,-2,-4,7,100,99,0.4,1021,-3,6,153,6,ulvik
2020-11-30 00:00:00,3,-2,0.0,1.6,1,100,04:38 PM,10:04 AM,10:11 AM,04:31 PM,2,-3,-1,-3,7,100,99,0.5,1020,-2,9,162,6,ulvik
2020-11-30 01:00:00,3,-2,0.0,1.6,1,100,04:38 PM,10:04 AM,10:11 AM,04:31 PM,2,-2,0,-2,8,100,99,0.3,1019,-0,9,174,7,ulvik
2020-11-30 02:00:00,3,-2,0.0,1.6,1,100,04:38 PM,10:04 AM,10:11 AM,04:31 PM,3,-1,2,-1,9,100,99,0.4,1018,1,9,186,8,ulvik
2020-11-30 03:00:00,3,-2,0.0,1.6,1,100,04:38 PM,10:04 AM,10:11 AM,04:31 PM,3,1,3,1,10,100,99,0.5,1017,3,9,198,9,ulvik
